time,symbol,event,score,state,bias,allow_trend,allow_mean_reversion,flip_count,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-02-20T08:30:00-05:00,TQQQ,15m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,2,-1,0,0,-1,1,-1,-1,1,-0.22369778259790693,-0.3613858261973525,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.36%),2026-02-20T08:46:59.951847-05:00,48.07,800.0,48.09,800.0,48.08,0.020000000000003126,0.0415973377703892
2026-02-20T08:40:00-05:00,TQQQ,5m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,2,-1,0,0,-1,1,-1,-1,1,-0.24361504768339645,-0.3613858261973525,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.36%),2026-02-20T08:46:59.951847-05:00,48.07,800.0,48.09,800.0,48.08,0.020000000000003126,0.0415973377703892
2026-02-20T08:25:00-05:00,UNG,30m_close,1.2,CONFIRMED,BOTH,1,1,0,0,0,0,0,0,0,0,1,nan,nan,nan,nan,1.0,1.0,,2026-02-20T08:46:59.156784-05:00,11.87,2500.0,11.88,2600.0,11.875,0.010000000000001563,0.08421052631580264
2026-02-20T08:25:00-05:00,UNG,15m_close,1.2,CONFIRMED,BOTH,1,1,0,0,0,0,0,0,0,1,1,nan,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T08:46:59.156784-05:00,11.87,2500.0,11.88,2600.0,11.875,0.010000000000001563,0.08421052631580264
2026-02-20T08:25:00-05:00,UNG,5m_close,1.2,CONFIRMED,BOTH,1,1,0,1,0,0,0,0,0,1,1,nan,nan,nan,nan,1.0,1.0,5m#1 ok (no extreme VWAP dislocation),2026-02-20T08:46:59.156784-05:00,11.87,2500.0,11.88,2600.0,11.875,0.010000000000001563,0.08421052631580264
2026-02-20T08:32:00-05:00,RGTI,15m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,0,-1,0,0,0,0,0,-1,1,-0.839587195237259,-1.5500453715148637,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.55%),2026-02-20T08:47:59.754734-05:00,16.26,200.0,16.27,100.0,16.265,0.00999999999999801,0.06148170919150329
2026-02-20T08:41:00-05:00,RGTI,5m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,0,-1,0,0,0,0,0,-1,1,-1.5489108069961033,-1.5500453715148637,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.55%),2026-02-20T08:47:59.754734-05:00,16.26,200.0,16.27,100.0,16.265,0.00999999999999801,0.06148170919150329
2026-02-20T08:47:00-05:00,RGTI,5m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,0,-1,0,0,0,0,0,-1,1,-1.0710321473465825,-1.5500453715148637,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.55%),2026-02-20T08:50:58.991035-05:00,16.25,100.0,16.27,200.0,16.259999999999998,0.019999999999999574,0.12300123001229753
2026-02-20T08:46:00-05:00,OPEN,5m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,2,1,1,-1,-1,1,1,-1,1,-1.7893737522655644,-1.1111683918282749,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.11%),2026-02-20T08:50:59.445781-05:00,5.37,100.0,5.38,100.0,5.375,0.009999999999999787,0.18604651162790303
2026-02-20T08:46:00-05:00,TQQQ,5m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,2,-1,0,0,-1,1,-1,-1,1,-0.3521388425633381,-0.3613858261973525,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.36%),2026-02-20T08:50:58.179516-05:00,48.12,800.0,48.14,800.0,48.129999999999995,0.020000000000003126,0.041554124246838
2026-02-20T08:46:00-05:00,QQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,-1,0,0,0,0,-1,0,-0.03001784329375207,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T08:52:59.223151-05:00,600.85,280.0,600.93,280.0,600.89,0.07999999999992724,0.013313584849128333
2026-02-20T08:50:00-05:00,RGTI,5m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,0,-1,0,0,0,0,0,-1,1,-0.6600492013531903,-1.5500453715148637,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.55%),2026-02-20T08:55:56.062367-05:00,16.3,100.0,16.32,100.0,16.310000000000002,0.019999999999999574,0.12262415695891828
2026-02-20T08:50:00-05:00,TQQQ,5m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,2,-1,0,0,-1,1,-1,-1,1,-0.2383172728214587,-0.3613858261973525,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.36%),2026-02-20T08:55:59.903671-05:00,48.16,800.0,48.18,800.0,48.17,0.020000000000003126,0.04151961801952071
2026-02-20T08:50:00-05:00,OPEN,5m_close,1.2,CONFIRMED,SHORT_ONLY,1,1,2,1,1,-1,-1,1,1,-1,1,-1.325269420888936,-1.1111683918282749,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.11%),2026-02-20T08:55:37.253918-05:00,5.37,100.0,5.38,100.0,5.375,0.009999999999999787,0.18604651162790303
2026-02-20T08:46:00-05:00,UNG,5m_close,1.2,CONFIRMED,BOTH,1,1,0,1,0,0,0,0,0,1,1,nan,nan,nan,nan,1.0,1.0,5m#1 ok (no extreme VWAP dislocation),2026-02-20T08:57:59.581864-05:00,11.89,2600.0,11.91,2600.0,11.9,0.019999999999999574,0.1680672268907527
2026-02-20T08:52:00-05:00,QQQ,5m_close,1.0,ACTIVE,BOTH,1,1,0,-1,-1,0,0,0,0,-1,0,0.026438859700065417,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T09:00:00.000439-05:00,601.4,280.0,601.48,280.0,601.44,0.08000000000004093,0.013301409949461447
2026-02-20T08:36:00-05:00,QQQ,1h_close,1.0,ACTIVE,BOTH,1,1,0,-1,-1,0,0,0,0,-1,0,0.026438859700065417,nan,nan,nan,1.0,0.75,15m bias=BOTH from VWAP (nan%),2026-02-20T09:00:59.915143-05:00,601.31,280.0,601.39,280.0,601.3499999999999,0.08000000000004093,0.013303400681806092
2026-02-20T08:36:00-05:00,QQQ,30m_close,1.2,CONFIRMED,BOTH,1,1,0,-1,-1,0,0,0,0,-1,-1,0.026438859700065417,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T09:00:59.915143-05:00,601.31,280.0,601.39,280.0,601.3499999999999,0.08000000000004093,0.013303400681806092
2026-02-20T08:46:00-05:00,QQQ,15m_close,1.2,CONFIRMED,BOTH,1,1,0,-1,-1,0,0,0,0,1,-1,0.026438859700065417,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T09:00:59.915143-05:00,601.31,280.0,601.39,280.0,601.3499999999999,0.08000000000004093,0.013303400681806092
2026-02-20T08:59:00-05:00,QQQ,5m_close,1.2,CONFIRMED,BOTH,1,1,0,-1,-1,0,0,0,0,1,-1,0.06042196544604134,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T09:00:59.915143-05:00,601.31,280.0,601.39,280.0,601.3499999999999,0.08000000000004093,0.013303400681806092
2026-02-20T08:08:00-05:00,TQQQ,1h_close,1.2,CONFIRMED,SHORT_ONLY,1,1,2,-1,0,0,-1,1,-1,-1,1,-0.2383172728214587,-0.3613858261973525,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.36%),2026-02-20T09:00:59.726476-05:00,48.25,800.0,48.27,800.0,48.260000000000005,0.020000000000003126,0.041442188147540665
2026-02-20T08:30:00-05:00,TQQQ,30m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,2,-1,0,0,-1,1,-1,-1,-1,-0.2383172728214587,-0.3613858261973525,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.36%),2026-02-20T09:00:59.726476-05:00,48.25,800.0,48.27,800.0,48.260000000000005,0.020000000000003126,0.041442188147540665
2026-02-20T08:46:00-05:00,TQQQ,15m_close,1.44,CONFIRMED,BOTH,0,1,2,-1,0,0,-1,1,-1,1,-1,-0.2383172728214587,-0.08520617449742299,nan,nan,1.0,1.0,15m near VWAP (-0.09%): bias=BOTH; favor reversion,2026-02-20T09:00:59.726476-05:00,48.25,800.0,48.27,800.0,48.260000000000005,0.020000000000003126,0.041442188147540665
