[WARN] Stream symbol cap hit (30). Dropping market symbols: ['IWM', 'SPY', 'VIXY', 'VTI']
Streaming 1m bars + live quotes for 30 symbols on feed=DataFeed.IEX ...
CLOSED-BAR ONLY: eligibility + features updated ONLY on closed 5m/15m/30m/1h bars.
VWAP thresholds: extreme=1.25%  near=0.10%
Gates: MIN_DAY_VOLUME=300,000  MIN_PCT_CHG=0.75% (abs from day open)
TradeQual: MAX_SPREAD_PCT=0.200%  QUOTE_MAX_AGE_SEC=8  MIN_RR=1.80
Webhook -> FastAPI: ENABLED url=http://127.0.0.1:8000/api/events
MarketDirection: decision_time=10:10 ET tickers: SP_FUT=SPY, NYSE=VTI, DJ=DIA, SP500=SPY, NASDAQ=QQQ, IWM=IWM, VIX=VIXY
Pre-decision: bars/features only. Post-decision: eligibility/session_state/trade_signals enabled.
Regime benchmark symbol: AUTO (select first CONFIRMED at 30m)
[MARKET] Market direction locked @ 11:42 score=-0.675 (vix_penalty=0.000) -> SHORT_ONLY
[5M CLOSED] QBTS 11:50 close=20.70
[5M CLOSED] UBER 11:50 close=75.04
[5M CLOSED] DIA 11:50 close=493.51
[5M CLOSED] IONQ 11:50 close=40.12
[5M CLOSED] XLE 11:50 close=55.23
[5M CLOSED] IAG 11:50 close=23.79
[5M CLOSED] SOUN 11:50 close=8.72
[5M CLOSED] XLV 11:50 close=156.57
[5M CLOSED] QQQ 11:50 close=606.75
[5M CLOSED] OPEN 11:50 close=5.29
[5M CLOSED] TQQQ 11:50 close=49.45
[5M CLOSED] QTUM 11:50 close=117.25
[5M CLOSED] CHAT 11:53 close=64.36
[5M CLOSED] UNG 11:50 close=11.23
[1H CLOSED] OPEN 11:42 close=5.26
[30M CLOSED] OPEN 11:42 close=5.26
[15M CLOSED] OPEN 11:45 close=5.26
[5M CLOSED] OPEN 11:55 close=5.26
[1H CLOSED] SOUN 11:42 close=8.67
[30M CLOSED] SOUN 11:42 close=8.67
[15M CLOSED] SOUN 11:45 close=8.67
[5M CLOSED] SOUN 11:55 close=8.67
[1H CLOSED] XLE 11:42 close=55.37
[30M CLOSED] XLE 11:42 close=55.37
[15M CLOSED] XLE 11:45 close=55.37
[5M CLOSED] XLE 11:55 close=55.37
[1H CLOSED] OUST 11:43 close=19.02
[30M CLOSED] OUST 11:43 close=19.02
[15M CLOSED] OUST 11:46 close=19.02
[5M CLOSED] OUST 11:50 close=19.02
[1H CLOSED] IONQ 11:42 close=39.94
[30M CLOSED] IONQ 11:42 close=39.94
[15M CLOSED] IONQ 11:45 close=39.94
[5M CLOSED] IONQ 11:55 close=39.94
[1H CLOSED] IAG 11:42 close=23.75
[30M CLOSED] IAG 11:42 close=23.75
[15M CLOSED] IAG 11:45 close=23.75
[5M CLOSED] IAG 11:55 close=23.75
[1H CLOSED] TQQQ 11:42 close=49.30
[30M CLOSED] TQQQ 11:42 close=49.30
[15M CLOSED] TQQQ 11:45 close=49.30
[5M CLOSED] TQQQ 11:55 close=49.30
[1H CLOSED] LUNR 11:42 close=17.36
[30M CLOSED] LUNR 11:42 close=17.36
[15M CLOSED] LUNR 11:45 close=17.36
[5M CLOSED] LUNR 11:55 close=17.36
