trade_date,trade_time_utc,symbol,side,qty,fill_model,fill_price,close_price,notional,pnl_to_close,return_on_notional,equity_open,planned_notional,executed_notional,cap_dollars
2026-01-22,2026-01-22T14:30:00+00:00,OPEN,buy,58.0,next_open,6.61,6.425,383.38,-10.730000000000029,-0.027987897125567398,58620.86500000001,38881.36,1165.0,1172.4173000000003
2026-01-22,2026-01-22T14:30:00+00:00,RGTI,buy,16.0,next_open,24.45,24.96,391.2,8.160000000000025,0.020858895705521536,58620.86500000001,38881.36,1165.0,1172.4173000000003
2026-01-23,2026-01-23T14:30:00+00:00,NVD,buy,57.0,next_open,7.015,7.0,399.85499999999996,-0.8549999999999818,-0.00213827512473267,59625.22500000001,38753.284999999996,1170.735,1192.5045000000002
2026-01-23,2026-01-23T14:30:00+00:00,OPEN,buy,62.0,next_open,6.39,6.03,396.18,-22.319999999999965,-0.056338028169013996,59625.22500000001,38753.284999999996,1170.735,1192.5045000000002
2026-01-23,2026-01-23T14:30:00+00:00,RGTI,buy,15.0,next_open,24.98,23.48,374.7,-22.5,-0.0600480384307446,59625.22500000001,38753.284999999996,1170.735,1192.5045000000002
2026-01-26,2026-01-26T14:30:00+00:00,NVD,buy,51.0,next_open,7.04,7.1,359.04,3.05999999999998,0.008522727272727217,55089.83000000001,34273.245,1074.075,1101.7966000000001
2026-01-26,2026-01-26T14:30:00+00:00,OPEN,buy,61.0,next_open,5.985,5.85,365.08500000000004,-8.235000000000042,-0.022556390977443722,55089.83000000001,34273.245,1074.075,1101.7966000000001
2026-01-26,2026-01-26T14:30:00+00:00,RGTI,buy,15.0,next_open,23.33,21.77,349.95,-23.39999999999998,-0.0668666952421774,55089.83000000001,34273.245,1074.075,1101.7966000000001
2026-01-27,2026-01-27T14:30:00+00:00,NVD,buy,49.0,next_open,7.03,6.93,344.47,-4.900000000000026,-0.014224751066856405,53299.47500000001,32028.695,1053.605,1065.9895000000004
2026-01-27,2026-01-27T14:30:00+00:00,OPEN,buy,61.0,next_open,5.835,5.815,355.935,-1.219999999999974,-0.003427592116538059,53299.47500000001,32028.695,1053.605,1065.9895000000004
2026-01-27,2026-01-27T14:30:00+00:00,RGTI,buy,16.0,next_open,22.075,22.3,353.2,3.6000000000000227,0.010192525481313768,53299.47500000001,32028.695,1053.605,1065.9895000000004
2026-01-28,2026-01-28T14:30:00+00:00,NVD,buy,52.0,next_open,6.74,6.72,350.48,-1.040000000000024,-0.002967359050445172,53184.890000000014,31037.97,1040.76,1063.6978000000004
2026-01-28,2026-01-28T14:30:00+00:00,OPEN,buy,61.0,next_open,5.83,5.78,355.63,-3.049999999999989,-0.008576329331046281,53184.890000000014,31037.97,1040.76,1063.6978000000004
2026-01-28,2026-01-28T14:30:00+00:00,RGTI,buy,15.0,next_open,22.31,22.04,334.65,-4.049999999999994,-0.012102196324518135,53184.890000000014,31037.97,1040.76,1063.6978000000004
2026-01-29,2026-01-29T14:30:00+00:00,NVD,buy,51.0,next_open,6.71,6.66,342.21,-2.549999999999991,-0.007451564828613983,52358.29000000002,29586.025,1030.81,1047.1658000000004
2026-01-29,2026-01-29T14:30:00+00:00,OPEN,buy,60.0,next_open,5.75,5.575,345.0,-10.49999999999999,-0.030434782608695622,52358.29000000002,29586.025,1030.81,1047.1658000000004
2026-01-29,2026-01-29T14:30:00+00:00,RGTI,buy,16.0,next_open,21.475,19.845,343.6,-26.08000000000004,-0.07590221187427253,52358.29000000002,29586.025,1030.81,1047.1658000000004
2026-01-30,2026-01-30T14:30:00+00:00,NVD,buy,46.0,next_open,6.73,6.75,309.58000000000004,0.9199999999999804,0.002971768202080174,49269.36000000002,26509.490000000005,966.5200000000001,985.3872000000005
2026-01-30,2026-01-30T14:30:00+00:00,OPEN,buy,58.0,next_open,5.57,5.15,323.06,-24.359999999999996,-0.07540394973070016,49269.36000000002,26509.490000000005,966.5200000000001,985.3872000000005
2026-01-30,2026-01-30T14:30:00+00:00,RGTI,buy,17.0,next_open,19.64,18.175,333.88,-24.904999999999998,-0.07459266802443991,49269.36000000002,26509.490000000005,966.5200000000001,985.3872000000005
2026-02-02,2026-02-02T14:30:00+00:00,NVD,buy,38.0,next_open,7.0,7.145,266.0,5.509999999999984,0.020714285714285654,44818.105000000025,22279.500000000004,884.5899999999999,896.3621000000005
2026-02-02,2026-02-02T14:30:00+00:00,OPEN,buy,60.0,next_open,5.105,4.82,306.3,-17.10000000000001,-0.055827619980411386,44818.105000000025,22279.500000000004,884.5899999999999,896.3621000000005
2026-02-02,2026-02-02T14:30:00+00:00,RGTI,buy,17.0,next_open,18.37,17.71,312.29,-11.220000000000002,-0.035928143712574856,44818.105000000025,22279.500000000004,884.5899999999999,896.3621000000005
2026-02-03,2026-02-03T14:30:00+00:00,NVD,buy,37.0,next_open,7.1,7.55,262.7,16.650000000000006,0.06338028169014087,45169.11000000002,21899.239999999998,889.3299999999999,903.3822000000005
2026-02-03,2026-02-03T14:30:00+00:00,OPEN,buy,65.0,next_open,4.87,5.15,316.55,18.200000000000017,0.05749486652977418,45169.11000000002,21899.239999999998,889.3299999999999,903.3822000000005
2026-02-03,2026-02-03T14:30:00+00:00,RGTI,buy,17.0,next_open,18.24,18.21,310.08,-0.5099999999999589,-0.0016447368421051308,45169.11000000002,21899.239999999998,889.3299999999999,903.3822000000005
2026-02-04,2026-02-04T14:30:00+00:00,NVD,buy,32.0,next_open,7.66,8.06,245.12,12.800000000000011,0.05221932114882511,45059.040000000015,20261.920000000002,886.19,901.1808000000003
2026-02-04,2026-02-04T14:30:00+00:00,OPEN,buy,63.0,next_open,5.05,5.025,318.15,-1.5749999999999664,-0.004950495049504846,45059.040000000015,20261.920000000002,886.19,901.1808000000003
2026-02-04,2026-02-04T14:30:00+00:00,RGTI,buy,18.0,next_open,17.94,17.175,322.92,-13.77000000000001,-0.04264214046822745,45059.040000000015,20261.920000000002,886.19,901.1808000000003
2026-02-05,2026-02-05T14:30:00+00:00,NVD,buy,23.0,next_open,8.0,8.28,184.0,6.439999999999985,0.03499999999999992,40239.485000000015,15489.095,789.595,804.7897000000003
2026-02-05,2026-02-05T14:30:00+00:00,OPEN,buy,59.0,next_open,4.925,4.7,290.575,-13.274999999999979,-0.04568527918781719,40239.485000000015,15489.095,789.595,804.7897000000003
2026-02-05,2026-02-05T14:30:00+00:00,RGTI,buy,19.0,next_open,16.58,14.975,315.02,-30.494999999999976,-0.09680337756332924,40239.485000000015,15489.095,789.595,804.7897000000003
2026-02-06,2026-02-06T14:30:00+00:00,NVD,buy,18.0,next_open,7.855,7.0,141.39000000000001,-15.390000000000008,-0.10884786760025465,36303.175000000025,12003.765,714.6400000000001,726.0635000000005
2026-02-06,2026-02-06T14:30:00+00:00,OPEN,buy,55.0,next_open,4.79,4.89,263.45,5.4999999999999805,0.02087682672233813,36303.175000000025,12003.765,714.6400000000001,726.0635000000005
2026-02-06,2026-02-06T14:30:00+00:00,RGTI,buy,20.0,next_open,15.49,17.685,309.8,43.89999999999997,0.14170432537120714,36303.175000000025,12003.765,714.6400000000001,726.0635000000005
2026-02-09,2026-02-09T14:30:00+00:00,NVD,buy,34.0,next_open,7.085,6.65,240.89,-14.789999999999987,-0.06139731827805217,42404.42500000002,16588.684999999998,837.74,848.0885000000004
2026-02-09,2026-02-09T14:30:00+00:00,OPEN,buy,59.0,next_open,4.89,4.95,288.51,3.5400000000000293,0.012269938650306851,42404.42500000002,16588.684999999998,837.74,848.0885000000004
2026-02-09,2026-02-09T14:30:00+00:00,RGTI,buy,18.0,next_open,17.13,17.59,308.34,8.280000000000015,0.026853473438412195,42404.42500000002,16588.684999999998,837.74,848.0885000000004
2026-02-10,2026-02-10T14:30:00+00:00,NVD,buy,42.0,next_open,6.54,6.74,274.68,8.400000000000007,0.03058103975535171,42947.22500000003,16576.43,849.34,858.9445000000005
2026-02-10,2026-02-10T14:30:00+00:00,OPEN,buy,56.0,next_open,5.01,4.7,280.56,-17.359999999999978,-0.06187624750498994,42947.22500000003,16576.43,849.34,858.9445000000005
